date,revenue,unique_customers,total_views,rolling_mean,rolling_std,revenue_lag_1,revenue_lag_7,revenue_per_customer,views_per_customer
2019-08-01,6475.85,81,12224,6519.0085714285715,4053.900742069004,,,79.94876444507699,150.91357838378298
2019-08-02,4594.24,52,7733,6519.0085714285715,4053.900742069004,6475.85,,88.350767531716,148.71153560170126
2019-08-04,1279.07,29,3218,6519.0085714285715,4053.900742069004,4594.24,,44.10586054807377,110.9655134149823
2019-08-05,8433.32,50,7896,6519.0085714285715,4053.900742069004,1279.07,,168.66639662667208,157.91999684160007
2019-08-06,4276.0199999999995,52,6766,6519.0085714285715,4053.900742069004,8433.32,,82.23115226478552,130.11538211316574
2019-08-07,6392.04,52,7133,6519.0085714285715,4053.900742069004,4276.0199999999995,,122.92384378992608,137.1730742851332
2019-08-08,14182.52,72,13297,6519.0085714285715,4053.900742069004,6392.04,,196.97944170861888,184.68055299054788
2019-08-09,-6946.4400000000005,43,6696,4601.538571428571,6508.7667997412755,14182.52,6475.85,-161.5451125222067,155.72092661114124
2019-08-11,2133.71,31,2161,4250.034285714285,6575.326471858913,-6946.4400000000005,4594.24,68.82935261840798,69.70967517065564
2019-08-12,2750.86,49,6368,4460.29,6487.435956824545,2133.71,1279.07,56.13999885428574,129.95918102124122
2019-08-13,3039.91,49,7315,3689.802857142857,6252.971435855421,2750.86,8433.32,62.03897832573514,149.28571123906713
2019-08-14,8362.69,48,10078,4273.612857142857,6502.618646416519,3039.91,4276.0199999999995,174.22270470369367,209.95832895920148
2019-08-15,4646.7300000000005,84,11514,4024.282857142857,6441.022437790743,8362.69,6392.04,55.318213627164134,137.07142693962587
2019-08-16,2271.9,60,6654,2322.7657142857142,4628.454745379777,4646.7300000000005,14182.52,37.86499936891668,110.89999815166671
2019-08-18,3257.69,38,4919,3780.4985714285717,2183.9022126645127,2271.9,-6946.4400000000005,85.72868195450837,129.44736501454304
2019-08-19,3598.13,61,9409,3989.7014285714286,2066.8638922969635,3257.69,2133.71,58.985736737938744,154.24589911072297
2019-08-20,4395.8,63,9423,4224.692857142857,1994.793191442113,3598.13,2750.86,69.77460206706981,149.57142619727895
2019-08-21,18396.03,80,11397,6418.424285714286,5621.552012756669,4395.8,3039.91,229.95037212562033,142.4624982192188
2019-08-22,5518.22,81,9212,6012.0714285714275,5560.057287916579,18396.03,8362.69,68.12617199844233,113.72839365767416
2019-08-23,2620.62,44,7733,5722.627142857143,5694.101654102878,5518.22,4646.7300000000005,59.55954410091945,175.7499960056819
2019-08-25,2738.44,36,4950,5789.2757142857145,5649.535714672657,2620.62,2271.9,76.06777566478402,137.49999618055568
2019-08-27,15662.28,29,8558,7561.36,6590.255826286259,2738.44,3257.69,540.0786020662551,295.10343809988143
2019-08-28,6099.98,73,6695,7918.767142857142,6404.726009577391,15662.28,3598.13,83.5613687183374,91.71232751079003
2019-08-29,3526.7,73,10791,7794.61,6492.227954400552,6099.98,4395.8,48.31095824231564,147.82191578326143
